alu_id,opcode,a,b,a_hw,b_hw,y_toggles
0,13,48961,1928,9,5,7
0,3,56689,8744,10,4,7
0,14,57964,9301,8,6,12
0,1,3439,35828,9,9,7
0,13,30419,8728,10,4,8
0,5,53241,456,12,4,8
0,0,18504,44003,4,10,7
0,0,8586,13927,5,9,9
0,15,61280,48974,9,11,8
0,4,46706,27122,9,9,4
0,14,26856,57752,7,7,8
0,11,11256,1165,9,5,12
0,0,50863,12088,10,8,12
0,1,2465,16532,5,4,9
0,11,50465,32549,6,10,6
0,12,315,48686,6,10,4
0,2,26390,33824,8,3,11
0,5,63637,10797,9,7,7
0,8,40967,62952,5,10,8
0,11,14184,58007,8,9,1
0,3,62007,39250,10,7,4
0,4,30854,36209,7,8,9
0,2,628,30834,5,8,7
0,4,8140,47240,9,6,9
0,4,19330,64140,6,9,6
0,1,16527,35013,6,6,5
0,6,44053,65483,7,13,13
0,13,53546,17141,7,8,6
0,14,5958,59,7,5,10
0,4,49555,740,7,5,7
0,1,9330,15218,6,9,9
0,12,7605,18339,9,8,5
0,14,47767,49201,10,5,11
0,4,11863,41334,9,8,10
0,9,44032,41075,4,7,7
0,13,39794,17950,9,7,8
0,7,22989,3069,9,10,5
0,6,32539,50638,11,9,6
0,13,18634,25991,6,8,7
0,2,39724,35109,8,6,9
0,13,54515,29571,10,8,7
0,12,26032,37817,7,9,6
0,2,49064,31130,10,9,13
0,15,13213,4092,9,10,11
0,0,54489,20492,9,4,7
0,15,21596,61825,7,7,9
0,8,37032,38307,5,8,9
0,8,14329,40125,11,10,0
0,13,47903,46955,11,11,9
0,1,33686,32779,7,4,4
0,10,655,10303,6,8,7
0,5,14971,46637,10,9,9
0,10,43775,30301,12,10,11
0,13,57815,42813,10,10,7
0,2,6938,27371,7,10,9
0,6,37673,41747,7,7,8
0,2,35357,10454,7,7,10
0,7,9870,34962,7,5,11
0,14,39662,20037,10,7,12
0,4,20589,25767,7,8,7
0,6,64546,7257,8,7,10
0,11,50317,2309,7,4,10
0,11,2511,34892,8,5,3
0,3,19623,48408,8,8,2
0,11,26476,26639,9,7,2
0,7,61904,52527,8,10,1
0,5,42784,36078,6,9,9
0,4,6002,12980,8,7,9
0,3,59552,57779,6,9,8
0,4,40479,14300,10,10,7
0,14,30773,36068,8,7,7
0,4,1198,3001,6,8,9
0,6,27738,6157,8,5,9
0,1,33620,27356,6,9,11
0,11,17786,32823,8,6,6
0,14,11015,18009,7,7,14
0,5,37334,25371,8,8,10
0,8,4554,20315,6,10,7
0,12,36096,6481,4,6,9
0,9,23837,44017,9,10,4
0,15,48319,55185,12,9,10
0,0,31426,33919,8,9,10
0,7,38005,52504,8,7,10
0,7,12270,47633,11,7,0
0,15,5133,18136,5,7,9
0,4,47170,29355,6,9,6
0,5,25094,52700,5,10,6
0,8,62641,48439,9,11,11
0,14,30999,17458,9,5,13
0,2,31547,15117,11,8,7
0,8,47428,3743,7,9,12
0,0,49615,46322,9,9,8
0,9,37825,10039,7,9,8
0,6,14449,49375,7,9,7
0,12,7299,18310,6,7,9
0,12,27155,25168,7,5,8
0,14,49657,315,9,6,9
0,13,8712,43794,3,7,5
0,11,53444,59885,6,11,10
0,13,33476,20271,5,10,5
0,15,10828,42723,6,9,10
0,14,12053,23212,8,8,10
0,6,55735,10233,11,10,11
0,3,24787,48256,7,6,8
0,9,45809,44149,9,9,10
0,0,4138,62882,4,9,8
0,7,64203,63765,11,9,7
0,10,5305,44787,7,11,9
0,2,65516,26396,13,8,6
0,10,15673,24448,9,7,7
0,0,47595,3662,11,7,12
0,8,29755,59677,9,9,6
0,11,28859,59080,9,8,1
0,14,58560,14999,6,9,14
0,2,23004,57558,9,8,6
0,3,4786,61352,6,10,13
0,10,11566,1479,8,7,3
0,4,406,60417,5,6,11
0,9,56272,40641,9,8,8
0,1,17922,1918,4,9,8
0,4,6360,20678,6,6,9
0,12,16473,39492,5,6,10
0,12,2356,16186,5,10,9
0,0,9199,13717,10,8,7
0,6,55223,8551,12,7,7
0,12,6862,10718,8,9,8
0,10,24636,30010,6,9,12
0,14,30949,14667,9,8,10
0,7,52362,35593,7,6,12
0,12,50467,13943,7,10,4
0,10,11070,45842,9,7,4
0,5,57589,39906,9,9,6
0,13,7276,24305,7,10,6
0,11,11913,11535,7,8,10
0,0,26708,12475,6,8,7
0,3,43799,40751,9,11,3
0,11,43820,12412,8,7,5
0,1,4081,12006,9,9,5
0,12,57445,57428,7,6,9
0,0,60525,18163,10,9,8
0,0,6908,22911,9,11,8
0,9,55155,7274,11,7,8
0,5,5125,30126,4,10,4
0,7,31387,22509,10,11,13
0,15,54251,59519,11,11,6
0,15,48686,41205,10,8,10
0,7,19011,25431,6,9,5
0,1,59888,21297,9,7,11
0,10,63177,46057,10,10,10
0,15,47130,6557,7,8,4
0,7,33512,57101,6,10,9
0,2,35702,33225,9,6,12
0,7,26847,20206,10,10,11
0,6,30376,44258,8,8,7
0,14,34608,57074,6,11,7
0,11,29348,58404,7,6,11
0,1,52527,3126,10,6,8
0,15,28326,16006,9,8,10
0,3,54659,4217,8,6,8
0,6,31172,15968,8,7,9
0,15,34693,515,7,3,4
0,6,54588,29772,9,7,8
0,11,46135,61300,9,11,9
0,1,11720,6135,7,11,7
0,9,48432,1269,8,7,7
0,11,40316,45553,10,9,8
0,0,10474,43804,7,8,6
0,0,58798,45269,10,8,5
0,12,20630,42522,6,7,10
0,0,31588,5662,9,7,8
0,9,63335,13961,12,7,8
0,1,46358,3931,8,9,7
0,1,59516,14956,9,8,8
0,2,58040,36264,8,7,5
0,3,41152,19326,4,10,12
0,2,28992,62564,5,8,8
0,15,59201,55645,8,10,12
0,15,2469,46547,6,10,4
0,11,27775,22511,11,12,12
0,2,44296,59843,6,9,10
0,7,28632,20915,10,8,10
0,0,56971,62964,10,11,10
0,12,23447,36908,10,5,10
0,4,48155,11090,9,7,7
0,0,26566,15168,9,6,8
0,11,7643,27687,10,8,6
0,7,13316,60696,4,8,0
0,1,45820,50187,10,6,11
0,9,28907,59304,9,9,7
0,8,12918,1652,8,6,8
0,11,31156,8012,9,8,2
0,11,26381,29759,8,10,2
0,6,62313,27628,10,10,6
0,1,22117,24857,8,6,9
0,14,28338,39844,9,8,3
0,14,26940,50546,8,8,6
0,6,3937,39873,7,8,10
0,2,32105,57938,10,7,8
0,0,6187,38146,6,5,7
0,14,3972,62422,6,11,7
0,3,43476,2946,8,5,13
0,3,22579,45399,7,9,7
0,4,15688,65219,7,11,8
0,10,28384,1794,8,4,4
0,13,26491,3778,11,6,9
0,11,24256,44002,7,9,7
0,12,23653,37060,8,5,6
0,10,22755,49885,8,9,6
0,7,43977,47424,9,6,8
0,1,50100,31494,8,8,7
0,10,48830,47977,12,10,6
0,0,24980,44365,6,9,8
0,0,39411,57684,10,7,9
0,10,30240,32662,6,11,5
0,15,26110,45953,11,7,7
0,6,57274,1706,12,6,8
0,3,5947,5767,9,7,11
0,13,12961,57325,6,13,4
0,10,4821,28022,7,10,3
0,9,58687,54414,11,8,4
0,3,51015,45177,9,8,11
0,7,26162,31835,7,10,3
0,0,19719,40117,7,9,10
0,12,17623,56816,8,10,9
0,5,3276,50111,6,11,9
0,14,18603,65276,7,13,5
0,10,22791,47018,7,10,7
0,2,38789,41260,8,6,9
0,1,3680,8672,5,5,9
0,1,52290,51022,6,9,8
0,4,15014,61005,8,10,8
0,10,10812,26096,7,8,8
0,13,44707,24346,9,9,10
0,9,42761,63798,7,10,8
0,9,46039,13959,11,8,8
0,13,5932,11929,7,8,9
0,8,37536,53274,5,6,8
0,15,19132,31449,8,10,10
0,9,18457,17789,5,9,7
0,10,12278,49165,11,5,4
0,13,7331,35648,7,5,4
0,2,60130,61432,9,12,9
0,8,16517,36363,4,7,14
0,13,1893,41108,7,5,7
0,13,28997,24241,7,9,4
0,8,32392,47912,8,8,5
0,1,39957,17512,7,5,9
0,1,61650,4540,8,7,8
0,10,29704,58313,5,9,10
0,4,46750,165,10,4,12
0,0,8477,23632,6,6,9
0,3,1259,5323,7,7,9
0,13,51765,27676,8,7,9
0,6,2887,41991,7,6,5
0,6,20618,35500,5,7,9
0,15,5358,29394,8,8,9
0,12,55388,3502,8,8,7
0,4,43536,19373,5,9,9
0,0,29416,17159,8,6,6
0,10,45839,44248,9,8,8
0,12,49191,39314,6,7,5
0,15,35954,22550,7,6,7
0,6,35518,46803,9,10,4
0,8,13362,1593,6,6,6
0,1,26582,42373,10,7,6
0,6,25989,62200,7,10,10
0,1,22845,57301,9,12,10
0,7,44694,34473,9,7,9
0,10,28715,33475,7,6,4
0,4,42836,64356,8,10,7
0,11,26069,27295,9,10,6
0,3,62628,61183,8,14,7
0,12,16650,19370,4,8,7
0,5,34222,5548,8,7,6
0,0,62130,54160,9,7,8
0,2,39554,50488,6,7,8
0,14,64148,52584,9,8,7
0,12,63464,42344,11,7,10
0,8,1453,17970,7,6,4
0,6,62620,19400,9,7,8
0,8,33803,41027,5,5,8
0,3,44144,53591,7,9,4
0,12,24240,48223,8,11,4
0,6,5304,34230,6,8,9
0,12,33089,5821,4,9,6
0,5,7833,31325,8,10,6
0,10,33827,59427,5,7,10
0,2,53978,14492,9,7,10
0,5,21215,17702,10,6,12
0,3,31889,18555,8,8,8
0,8,48479,15538,12,8,4
0,12,48768,59650,7,6,6
0,4,8518,65235,5,12,11
0,9,48347,40436,11,10,7
0,9,2736,61541,5,8,9
0,5,11898,55582,9,9,10
0,15,53080,55707,9,10,11
0,10,37442,39538,5,8,10
0,7,12280,63266,10,9,8
0,10,14576,3986,7,7,7
0,5,65010,10181,12,8,5
0,6,28840,10611,6,8,6
0,12,45164,22,7,3,7
0,1,44237,19734,9,7,5
0,10,4688,64007,4,9,6
0,6,36496,59581,6,10,6
0,8,54651,34094,11,7,6
0,15,7982,6575,9,9,9
0,9,13629,11470,9,8,9
0,2,57056,16685,9,6,9
0,3,40047,47149,10,8,6
0,12,59142,46439,8,10,7
0,6,16958,19817,7,8,8
0,4,5037,21413,8,8,10
0,8,52666,36054,10,8,2
0,0,5779,9243,7,6,9
0,13,59279,45376,11,5,9
0,12,41093,856,5,5,8
0,2,59538,46340,7,6,7
0,12,33239,12127,8,11,10
0,15,32563,27847,11,9,6
0,3,48160,63052,6,9,7
0,2,14029,43292,9,7,9
0,4,48308,21770,9,6,8
0,12,13030,21843,8,8,8
0,7,23766,36938,9,5,3
0,9,47761,39625,8,8,7
0,5,6881,55909,7,9,8
0,11,58415,64621,9,11,9
0,9,11985,62482,8,7,7
0,4,13537,32093,7,11,9
0,2,45382,51084,7,8,10
0,2,15204,47328,8,7,6
0,11,44112,2063,6,5,11
0,11,11656,1737,6,6,3
0,5,21003,55822,6,8,10
0,2,38879,40212,12,7,7
0,9,2550,28510,8,11,7
0,10,58989,43407,10,9,6
0,15,38368,40264,7,7,10
0,15,7477,31731,8,12,11
0,12,13444,35684,5,7,6
0,9,26074,39322,9,8,10
0,4,51385,20109,8,8,9
0,9,45744,59625,7,9,11
0,9,59616,33736,7,6,6
0,5,27326,52063,10,11,7
0,10,1956,62623,6,11,10
0,6,64472,15681,11,7,9
0,13,38110,14861,9,7,7
0,11,32621,62000,12,7,6
0,10,7899,21889,10,6,5
0,3,23117,34414,8,8,5
0,3,28328,21408,8,6,6
0,5,57579,33838,9,6,9
0,8,43201,61741,6,9,8
0,14,62153,40060,9,9,11
0,8,27192,12947,7,7,12
0,9,39501,46527,8,12,7
0,3,62953,3371,11,7,6
0,6,44150,4931,9,6,9
0,1,15803,65244,11,12,8
0,4,27431,30188,9,10,3
0,2,6618,44713,8,9,5
0,3,10121,14987,7,8,9
0,15,22877,38744,9,8,7
0,2,56237,31892,11,8,8
0,11,59826,39419,9,11,13
0,10,51513,11465,8,7,7
0,9,62025,41819,8,9,7
0,11,10349,15577,7,9,7
0,3,63818,20521,9,5,3
0,8,46857,47514,8,9,4
0,5,64613,34579,10,7,7
0,9,23880,60343,7,12,9
0,6,40213,6274,8,4,9
0,9,53386,30374,6,9,8
0,10,12177,25744,8,5,7
0,14,14488,31260,6,8,12
0,3,58953,62911,8,13,9
0,6,49264,46867,5,9,9
0,1,63729,8360,10,4,6
0,9,17186,41343,5,10,10
0,3,44693,43971,9,9,5
0,2,58685,36653,10,9,8
0,13,36877,24718,5,6,5
0,3,48333,53575,10,8,10
0,5,34290,48252,8,10,7
0,0,25927,54129,8,9,7
0,2,60233,34400,9,5,10
0,3,43944,16126,8,12,7
0,5,48846,28647,11,12,9
0,5,9058,6047,6,10,9
0,9,47746,46701,7,10,7
0,14,53841,56494,7,10,10
0,5,28711,50897,7,8,6
0,2,50431,45047,11,13,6
0,7,29783,54917,9,8,15
0,3,46644,25164,8,6,3
0,3,28361,34632,9,6,5
0,14,44536,44116,10,7,10
0,11,19944,34838,8,5,10
0,7,39866,16552,10,4,1
0,3,19540,13649,6,7,4
0,2,65502,59459,14,7,12
0,0,13447,13145,7,8,9
0,10,34281,44469,8,10,7
0,2,24113,5095,8,9,6
0,11,40970,62143,4,12,13
0,11,57916,62823,8,11,0
0,4,13947,39848,10,8,10
0,1,47130,9679,7,9,9
0,1,13634,8643,6,6,5
0,8,52610,47212,7,8,10
0,10,14072,49092,9,10,10
0,5,11626,12604,8,7,10
0,3,8488,34639,4,9,10
0,14,8747,7365,6,7,13
0,3,50906,36160,9,5,12
0,1,20942,47330,8,8,7
0,12,34642,63755,7,9,5
0,5,56012,35164,9,7,8
0,11,59968,13878,6,8,8
0,7,31621,101,9,4,2
0,8,19262,2873,9,7,1
0,13,43422,8443,9,8,9
0,0,26688,46585,4,11,7
0,15,47839,4036,12,7,8
0,0,4606,4364,9,4,5
0,15,318,50664,6,8,10
0,5,50000,47040,6,8,11
0,9,58899,42168,8,7,9
0,2,16334,7197,11,7,8
0,11,5417,7818,6,7,13
0,2,15848,46095,9,8,13
0,2,37408,18582,4,6,9
0,5,63857,1571,10,5,8
0,8,56681,36203,10,9,6
0,12,56517,57024,9,8,6
0,2,4317,15543,7,10,8
0,8,8331,24455,5,10,11
0,5,2134,13903,5,9,10
0,3,26098,11029,9,7,10
0,5,31205,34043,10,9,7
0,4,23506,32020,9,8,7
0,11,4302,65462,6,13,7
0,3,23309,19656,8,6,3
0,7,39800,59227,9,11,3
0,9,2892,28758,6,7,6
0,0,9428,35724,6,7,9
0,5,213,47210,5,8,8
0,9,3600,58657,4,7,7
0